site,var,nRMSE,R2,n
SE-Htm,zSM,0.15573309770172444,0.4690492388847581,2190
FR-Lam,PREC,0.0642896910754877,0.474973567848877,5471
DE-Obe,zSM,0.17550803896294928,0.4777637572187695,3911
SE-Deg,PREC,0.030334760460938172,0.4827366247754271,6491
SE-Nor,PREC,0.05695022872762708,0.4838568104002901,2243
DE-RuS,zSM,0.13970020839949013,0.48729932463200354,2770
CH-Oe2,PREC,0.05000382621136186,0.4994994235307437,4809
DK-Gds,PREC,0.10394782935244651,0.5072812033565779,175
DE-Hzd,zSM,0.2518153649081086,0.507541596651619,915
CZ-wet,PREC,0.039916964460309484,0.5099877249176528,4732
IT-SR2,PREC,0.03933844703766545,0.5112550365205362,2893
BE-Bra,PREC,0.024142099960532248,0.5115661948355359,8009
CZ-Stn,PREC,0.037106963257586764,0.5129171510927502,3295
DE-Geb,PREC,0.02805170490719328,0.5142259418967605,6907
CZ-BK1,PREC,0.04716220656139871,0.5144907982275632,4922
CZ-Lnz,PREC,0.053666138568317555,0.514965252969947,1751
CZ-Lnz,zSM,0.18663499018806784,0.5239935850767392,1867
CZ-KrP,zSM,0.17304295571863265,0.5251378502326572,1580
CH-Fru,PREC,0.04681663805951303,0.5293052634807478,4736
CH-Lae,PREC,0.06240684827798912,0.5357482059046812,5824
BE-Lon,zSM,0.15122286874563853,0.5390032181533468,5682
DE-RuS,PREC,0.06642270056139876,0.5428535531501598,2810
DE-Obe,PREC,0.05694285349785126,0.543303641583763,4142
DE-Obe,AET,0.07476289238263643,0.546845074288343,4309
CH-Cha,zSM,0.1275545977227299,0.5512531794941273,5332
FI-Hyy,PREC,0.03948927562012969,0.5551411227599049,7723
FR-Fon,PREC,0.046722276994978475,0.5568872131229613,4657
FR-Bil,zSM,0.28680209922342154,0.5612078001623758,1822
BE-Bra,zSM,0.24295268387844948,0.5628775072624509,1818
IT-SR2,AET,0.16541580251456767,0.570635256535107,1918
IT-Lsn,zSM,0.13812459783896552,0.574288255774287,1825
FI-Sii,PREC,0.082487611600639,0.5804105388265925,1334
FR-Hes,PREC,0.041646013850818994,0.5810033002212086,2539
BE-Lon,AET,0.10748294706810088,0.5858499215318256,3468
DE-RuR,PREC,0.0609197229051393,0.5874188575085104,3395
DK-Gds,PET,0.48932636768922066,0.5886856418706925,65
CH-Cha,PREC,0.05557409473714197,0.5887722910515073,4950
FR-Bil,AET,0.11863458605266494,0.5904102560160788,2186
DE-Hai,PREC,0.03281730585111531,0.5915328213848166,7264
FR-Tou,PREC,0.08992666391316309,0.6007464906022367,702
DE-Geb,AET,0.12387020196318599,0.6014088586015264,6484
DE-Kli,PREC,0.04213263415367965,0.6029128349235701,5128
CH-Fru,zSM,0.13416266778674013,0.6051508305520584,5472
DE-RuS,AET,0.14196590251795146,0.6070925109652205,2396
SE-Svb,PREC,0.05723118202165277,0.6084899662001652,2494
DE-Kli,AET,0.10715661091595326,0.6096062112426058,3870
SE-Nor,zSM,0.15283793895934408,0.6097096247195388,2404
BE-Maa,zSM,0.15729254283046615,0.6107733022269423,1287
DE-Tha,AET,0.10124207953919381,0.6159115223158836,8088
CZ-BK1,AET,0.1418969834220682,0.6211710055293332,1770
BE-Vie,PREC,0.05471159539993353,0.6221431755125127,8528
CZ-RAJ,zSM,0.1451794422754758,0.6221884455825546,1766
FR-Tou,AET,0.11789546146609937,0.6256646101660107,884
DE-HoH,PREC,0.061276531141388146,0.6323479929009909,1817
DE-Hai,zSM,0.1400853787117598,0.6349631786217853,7438
DE-Hzd,PREC,0.06950933353116585,0.6386183407863394,2056
DE-Gri,PREC,0.039551801273689305,0.640189995840607,5601
FR-Bil,PREC,0.04488219399977636,0.6500296098087375,2225
BE-Bra,AET,0.15448236717222624,0.6518866589832615,4081
DE-HoH,zSM,0.15063785931750248,0.6519896174690375,2176
CZ-RAJ,AET,0.11795277002789752,0.6524080878422563,1727
IT-Tor,AET,0.1440199073413684,0.6535308574874255,3853
CZ-KrP,AET,0.1030555819119504,0.6569168066590695,1620
DE-Hzd,AET,0.09816462668149813,0.6596399503428791,1683
IT-Lsn,AET,0.13842947986501455,0.6607936168753498,1596
CZ-KrP,PREC,0.05351533483038878,0.6643141361026601,2369
DE-HoH,AET,0.12117015646218741,0.6691830663667692,2017
CH-Dav,PREC,0.04042686316453768,0.673728619159339,8371
SE-Deg,AET,0.11565821674280911,0.6786922837491258,2215
CH-Fru,AET,0.10502486228903501,0.6806444953443096,1972
IT-Cp2,PREC,0.04180978865662265,0.6865306814982013,1690
BE-Dor,PREC,0.04567621257451018,0.6866785214696417,3439
SE-Nor,AET,0.12301275330280517,0.6868557239137209,2322
SE-Htm,AET,0.1401387682503206,0.6964881391188863,1981
FR-Hes,AET,0.11273692864545995,0.696548514338849,2341
FI-Sii,zSM,0.1817154507663366,0.7036747734951081,1288
FI-Hyy,AET,0.11819375057239849,0.7046340959445372,3155
DE-RuR,zSM,0.1386685307958759,0.7108622340155185,3148
DE-Tha,PREC,0.014277038608435435,0.712408787650109,8163
DE-Hai,AET,0.10448175275301014,0.7129758562472249,6381
SE-Svb,AET,0.11640736707176264,0.715418909962196,1831
BE-Vie,AET,0.1297859056289425,0.7176945919826105,5417
CH-Cha,AET,0.09768270401386991,0.718763277110983,3204
CZ-wet,AET,0.13187463200624658,0.7252414383539786,2494
BE-Lon,PREC,0.022919297215519,0.7312419161024749,4759
DE-Gri,AET,0.09930259933064478,0.7346245237599104,5278
CH-Aws,PET,0.1328881887793652,0.7435922116710669,3264
DE-RuR,AET,0.10635045109588757,0.7436547592283131,3087
BE-Maa,PREC,0.07534903681382887,0.7439973139379141,562
FR-Hes,zSM,0.13887519536376844,0.7474547923013025,2555
FR-Tou,zSM,0.15275032046002598,0.7603902485689378,1093
BE-Lcr,zSM,0.12578311900590136,0.76181966450413785,708
IT-BCi,TN,0.09185735568497282,0.7676122988808041,6205
IT-Tor,PET,0.16718749877370367,0.7758887594179995,4093
IT-BCi,PET,0.14686066818577004,0.7824370804927083,4760
IT-Cp2,TN,0.08023235459954106,0.7963727514556748,3248
IT-BCi,TX,0.0812368466740914,0.8031083394511747,6205
CZ-BK1,PET,0.302333808627492,0.8047496277646902,5038
DE-Gri,zSM,0.09622975749894769,0.8089831401941683,5035
BE-Bra,PET,0.24842001982019654,0.8197551988043428,8020
BE-Vie,PET,0.2574400538543177,0.8220881245878562,7852
CH-Fru,PET,0.19979082830936662,0.8228335498077449,5190
DE-RuS,PET,0.2152857711879454,0.827282123477116,2977
DE-Obe,PET,0.3103348519990399,0.8303758634643931,4581
CH-Aws,TN,0.11385847123312322,0.8308897371544127,5475
DE-RuR,PET,0.19108787496084617,0.8310202746670647,3439
CH-Dav,PET,0.2045747360153956,0.8364546165710581,8380
IT-Lsn,PET,0.2560690897631022,0.8389083545481422,1825
DE-Gri,PET,0.16223980400663313,0.8424746941326064,5959
BE-Lon,PET,0.20076956350383443,0.8441853959343386,5684
DE-Tha,PET,0.231880821723836,0.8465947242286913,8781
BE-Lcr,PET,0.24298239278785433,0.8472291353935649,682
SE-Htm,PET,0.24480675065978058,0.8483043813786876,2125
CH-Lae,PET,0.29312778690415886,0.8493703137633573,5773
DE-Kli,PET,0.21722865372025843,0.8508664961069624,5888
FI-Hyy,PET,0.22955417186670024,0.8514922042731369,8460
IT-SR2,PET,0.31583364681980236,0.8517328171300323,2752
BE-Dor,PET,0.19894192254207216,0.8521231079846612,3543
FR-Fon,PET,0.2174466504823027,0.8544407985789156,5666
DE-Hzd,PET,0.2051592537792073,0.8553807671967336,3243
IT-Cp2,PET,0.25426543965616344,0.8560307799867112,2765
DE-Akm,PET,0.21989060713622355,0.8561610687317982,3032
