File,name,Landing,ID,site,WW20,ICOS,lat,lon,Country,start_year,elevation,climate,ecosystem,MAT.x,MAT.y,MAP.y,MAP.x,MASW,slope,long_name,network,comment
NA,NA,http://meta.icos-cp.eu/resources/stations/ES_DE-SfN,96,DE-SfN,no,yes,47.8064,11.3275,,,,,,,,,,,,,,
FLX_DE-RuW_FLUXNET2015_FULLSET_2012-2020_beta-3.zip,10.18160/JX9W-FBEJ,https:/meta.icos-cp.eu/resources/stations/ES_DE-RuW,35,DE-RuW,yes,yes,50.5049,6.331,DE,NA,NA,NA,ENF,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLX_DE-RuS_FLUXNET2015_FULLSET_2011-2020_beta-3.zip,10.18160/BS3C-CVQ0,https:/meta.icos-cp.eu/resources/stations/ES_DE-RuS,68,DE-RuS,yes,yes,50.8659,6.4472,DE,2011,103,NA,CRO,NA,10,700,NA,NA,flat,Selhausen Juelich,ICOS_1,
FLX_DE-RuR_FLUXNET2015_FULLSET_2011-2020_beta-3.zip,10.18160/Q02V-HAN4,https:/meta.icos-cp.eu/resources/stations/ES_DE-RuR,26,DE-RuR,yes,yes,50.6219,6.3041,DE,2011,515,NA,GRA,NA,7.7,1033,NA,NA,medium,Rollesbroich,ICOS_a.,mostly Ranunculus repens-Alopecurus pratensis community
NA,NA,http://meta.icos-cp.eu/resources/stations/ES_DE-Okd,97,DE-Okd,no,yes,53.4126,9.0925,,,,,,,,,,,,,,
FLX_DE-Obe_FLUXNET2015_FULLSET_2008-2020_beta-3.zip,10.18160/05Y0-QP67,https:/meta.icos-cp.eu/resources/stations/ES_DE-Obe,34,DE-Obe,yes,yes,50.7867,13.7213,DE,2008,734,NA,ENF,NA,5.5,996,NA,NA,significant,Oberbärenburg,CarboEurope,
NA,NA,http://meta.icos-cp.eu/resources/stations/ES_DE-Msr,98,DE-Msr,no,yes,47.8092,11.4562,,,,,,,,,,,,,,
FLX_DE-Kli_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,10.18160/76VR-FWJ6,https:/meta.icos-cp.eu/resources/stations/ES_DE-Kli,67,DE-Kli,yes,yes,50.8931,13.5224,DE,2004,478,NA,CRO,NA,7.6,842,NA,NA,flat,Klingenberg,ICOS_a.,"intesive farmland, 5-year crop rotation"
NA,NA,http://meta.icos-cp.eu/resources/stations/ES_DE-Kie,99,DE-Kie,no,yes,52.9734,13.6439,,,,,,,,,,,,,,
FLX_DE-Hzd_FLUXNET2015_FULLSET_2010-2020_beta-3.zip,10.18160/GBJS-Y2FT,https:/meta.icos-cp.eu/resources/stations/ES_DE-Hzd,57,DE-Hzd,yes,yes,50.9638,13.4898,DE,2010,395,NA,DBF,NA,7.8,901,NA,NA,medium,Hetzdorf,ICOS_a.,
